iter	Passed	Remaining
0	0	31
1	0	30
2	0	29
3	1	26
4	1	26
5	1	25
6	1	25
7	2	25
8	2	24
9	2	24
10	3	29
11	3	28
12	4	27
13	4	27
14	4	26
15	4	26
16	5	25
17	5	24
18	5	24
19	5	23
20	6	23
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	20
27	7	20
28	8	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	18
34	9	17
35	9	17
36	10	17
37	10	16
38	10	16
39	10	16
40	10	15
41	11	15
42	11	14
43	11	14
44	11	14
45	12	14
46	12	13
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	12
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	15	10
61	16	9
62	16	9
63	16	9
64	16	9
65	17	8
66	17	8
67	17	8
68	17	8
69	18	7
70	18	7
71	18	7
72	18	6
73	19	6
74	19	6
75	19	6
76	19	5
77	20	5
78	20	5
79	20	5
80	20	4
81	21	4
82	21	4
83	21	4
84	21	3
85	22	3
86	22	3
87	22	3
88	22	2
89	23	2
90	23	2
91	23	2
92	23	1
93	24	1
94	24	1
95	24	1
96	24	0
97	25	0
98	25	0
99	25	0
